test_title,Predicted,Answer
추가 정정기간 부탁드립니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
고시반 운영 재개를 위한 열람실 개방 요청합니다.,기타,생활지원 - 공간사용
계절학기 모든 수업이 원격 강의로 진행되길 요청합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
철회기간연장을 요청드립니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
연구협력관 샤워시설 개선,기타,생활지원 - 편의
최우등/우등 졸업요건 사이버강의 /를 제외해주세요,행정지원 - 학사운영 전반에 관한 업무,기타
등록금 일부 환불 요구합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
사이버강의 추가 연장을 제안합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
기숙사 거주 학생 출입국 증명서 확인할 것을 제안합니다.,행정지원 - 학사운영 전반에 관한 업무,생활지원 - 기숙사
우등 최우등 졸업 관련,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
수강 철회기간중 정정도 가능하게 해주십시오.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
한학기동안 사이버 강의 진행하는 것을 요구합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
악성게시글 대응 부탁드립니다,기타,기타
융합보건학과 기말고사 비대면 요구합니다,대학,대학
절평 확대 또는 선택적 패논패 건의합니다.,행정지원 - 학교관련 제도,행정지원 - 학교관련 제도
온라인 채플수강에 대한 제안,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
"이대입결 폭망 구독자 수  만명 유튜버 뻑가에 대한 고소장 대응, 제발 부탁드립니다.",기타,기타
 학점 추가 /등록금 일부반환,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학교관련 제도
 학기 사이버강의 및 등록금 감면을 요구합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
 학기 기말고사를 전면 비대면으로 진행해주십시오,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 입학 및 학사운영
관광객 문제 개선,기타,기타
약학대학 오프라인 시험을 전면금지 해주세요.,대학,대학
  컴퓨터 열람실 책상에 번호가 적혀져 있으면 합니다,기타,생활지원 - 공간사용
장학금 관련 정책 제안합니다.,행정지원 - 학사운영 전반에 관한 업무,학생지원 - 학술지원
음악대학 등록금 감면을 요청합니다.,대학,대학
계절학기 전면 싸이버강의 전환을 제안합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
공식 이화그린 색에 대한 요구,기타,기타
"편입생도 우등 졸업, 최우등 졸업으로 인정해주세요.",행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학교관련 제도
학교 및 학과별 홈페이지 업데이트,기타,기타
입시 커뮤니티의 이화여대 혐오를 해결해주십시오.,기타,기타
올해 졸업전시를 앞둔 조예대 학생입니다. 조예대 복도 바닥 타일 교체만이라도 원합니다.,대학,대학
학부생들을 배려하는 주차 시스템,기타,기타
"추가학점 및  차정정기간, 등록금 반환을 요구합니다.",행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
부탁드립니다,기타,기타
사이버 강의 대체를 건의합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
우선수강신청 방식 변경 건의합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학교관련 제도
 학기 전체 싸강 전환 바랍니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
휴학 시 등록금 전액 반환 기간 연장,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
나눔리더십 분반늘려주세요,학생활동 - 멘토링,학생활동 - 멘토링
음악대학 졸업연주회 관객제한을 풀어주세요,대학,생활지원 - 공간사용
수요에 맞는 계절학기 증원을 요청합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
수만휘 대학카테고리 정정 왜 안 하나요,기타,기타
사이버강의 연기 논의 결과 알려주세요,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
단풍은 들지만 날씨는 춥네요.,행정지원 - 학사운영 전반에 관한 업무,기타
융합기초 분반 늘려주세요.,대학,기타
 학기 전체 싸강 또는 싸강연장을 학교에 제안합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
" 월  일 경영 주전우선수강은 복전생, 호크마생, 복전예정생의 수업권 침해입니다.",대학,대학
도서관 운영시간 연장,생활지원 - 공간사용,생활지원 - 공간사용
‘고속성장분석기’ 대응 부탁드립니다.,기타,기타
학교에게 적극적이고 즉각적인 소통의 자세를 요구합니다.,기타,기타
금학기 원격 강의 기간 중 도서관 단행본 이용 방법 제안,행정지원 - 학사운영 전반에 관한 업무,생활지원 - 공간사용
여름 계절학기 전면 온라인 강의로 전환하기를 요구합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
 학기 전체 비대면 해야한다고 생각합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
국가근로장학생 추가신청 운영,기타,학생지원 - 학술지원
신촌 힐스테이트 문 개방 관련,기타,기타
 학점,행정지원 - 학교관련 제도,행정지원 - 학교관련 제도
수강시뮬레이션이나 졸업시뮬레이션 항상 볼 수 있게 해주세요.,행정지원 - 학사운영 전반에 관한 업무,기타
등록금 감면 및 실기실 폐쇄 관련 제안,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
졸업생도 도서관 자료신청가능했으면 합니다,학생지원 - 학술지원,학생지원 - 학술지원
이화에 대한 악성게시글을 대응해주세요,기타,기타
학습지원서비스를 확대해주시길 바랍니다.,기타,학생지원 - 학술지원
입시커뮤니티의 이화여대혐오와 명예훼손 문제를 해결해주십시오,기타,기타
이화그린복구해주세요,기타,기타
이번 학기 재수강 제도 확대 혹은 학점 포기제 도입을 제안합니다.,행정지원 - 학교관련 제도,행정지원 - 학교관련 제도
대외 이미지 관련,기타,기타
사이버 강의로 대체를 건의합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
"총장님, 그리고 입학처와 홍보처에 간곡히 부탁합니다.",행정지원 - 학사운영 전반에 관한 업무,기타
수만휘 대학카테고리 정정 왜 안 하나요,기타,기타
추가학점 및 수강 정정기간 오픈을 요구합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
한학기 온라인 강의해주세요,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
 차 수강신청 가능하게 해주세요,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
수강신청 재정정 기회를 강력히 요구합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
거동이 불편한 이화인에게  ‘’에서 신을 ‘’ 화를,기타,학생지원 - 장애학생지원
경영 전공 수업들의 분반 확충 및 수강 인원 증원을 요구드립니다.,대학,행정지원 - 학사운영 전반에 관한 업무
 학기 전면 사이버강의 대체 요구합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
조기졸업 관련 규정에 대한 추가 의견입니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
중도 휴학 등록금 전액 반환 요구합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
대면 수업 및 시험 강행 취소 및 유증상시의 구체적인 가이드라인 제시 요구,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
"[컴퓨팅적사고와프로그래밍] 증원, 추가분반 개설 요청",대학,대학
전교과목 평가 방식을 필수적으로 절대평가하기를 원합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
컴퓨터공학부 전공필수 과목 증원 요청합니다.,대학,대학
 학기 전면 사이버강의를 요청합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
실험 오프라인 개강 반대합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
주전공생 보호 우선수강신청을 강력히 제안합니다.,대학,행정지원 - 학사운영 전반에 관한 업무
학교는 경영대학 복수전공생들의 수업권을 보장하십시오.,대학,대학
내일 라운지 근처 정수기 설치 부탁드립니다,기타,생활지원 - 편의시설
수강정정기간을 늘려주세요,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
비대면 시험  대면/비대면 강의 혼합 선택권 제안드립니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
학교 홍보 및 인색 개선과 관련하여 건의 드립니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 입학 및 학사운영
온라인 강의 연장 요구합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
실험과목 온라인 대체,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
신촌 힐스테이트 인터넷  까페에서 올라오는 상황을 알고 계십니까,기타,기타
사이버 강의 연장 및 등록금,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
등록금을 냈는데도 작년 강의를 다시 올리는 일은 없어야 한다고 생각합니다.,행정지원 - 학사운영 전반에 관한 업무,기타
학점 포기제도 부활,행정지원 - 학교관련 제도,행정지원 - 학교관련 제도
학교공식색으로 나와있는 이화그린 컬러의 수정바랍니다.,기타,기타
 학기 전체 사이버강의를 건의합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
"편입생들은  , 학년 필수교양을 졸업할 때까지 전전긍긍하며 못 듣는건가요. 대책이 필요합니다.",행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학교관련 제도
이화그린 공식색 변경을 반대합니다,기타,기타
메가로스쿨 메가엠디의 '중경외시이' 표기건에 대하여,기타,기타
학생들의 의견에 귀 기울여 주시고 대처방안을 마련해 주세요,기타,행정지원 - 학사운영 전반에 관한 업무
린드그렌 상을 수상한 백희나 동문 축하 현수막 건의,기타,기타
건축학전공 내 교수갑질을 해결해주세요,대학,대학
대형학원 입시설명회와 입결표 및 개인이 배포하는 입결표에 대해 강경대응 해주십시오,기타,기타
"이화플러스 장학금 신청과정, 심사과정에 대해 건의합니다.",기타,학생지원 - 학술지원
이화여대 학생들을 대상으로 한 모욕적인 발언에 법적 대응을 취해주시기 바랍니다.,기타,기타
의과대학 오프라인 개강을 반대합니다.,대학,대학
나눔리더십 추가분반개설요청,대학,학생활동 - 멘토링
등록금감면,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
수강할 수 있는 강의 분반과 강의실을 늘려주거나 계절에도 전공을 개설해주세요,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
사이버강의 연장 및 등록금 일부 반환을 부탁드립니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
'  학생증 모양으로 재발급 건의,기타,학생지원 - 학생증발급
음악대학 실기시험 폐지 요청합니다.,대학,대학
중국어 교육실을 운영을 제안합니다.,행정지원 - 학사운영 전반에 관한 업무,학생지원 - 학술지원
"이화그린 색상의 원상 복구를 요청하며, 색상을 자의적으로 바꾼 담당 교직원의 직접적인 피드백을 바랍니다.",기타,기타
계절학기 전면 온라인으로 전환해주세요,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
관광객 문제 안일하게 있지 마세요. 적극적으로 해결해주세요.,기타,기타
금학기 등록금 인하 및 일정금액 반환을 강력히 요구합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
이대 정문 운동장에 밤에 켜지는 조명시설 설치해주세요,기타,생활지원 - 공간사용
이화그린 복구해주세요,기타,기타
비대면 강의 연장을 요구합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
교내 자동차 속도제한,기타,기타
진학사 서성한시 그룹핑에대해 어떻게 생각하세요,기타,기타
 학기 전면 온라인 강의 제안합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
제안합니다.,행정지원 - 학사운영 전반에 관한 업무,기타
등록금 관련 제안,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
 학년도  학기  학점 추가에 대해 건의합니다.,행정지원 - 학교관련 제도,행정지원 - 학교관련 제도
관광객 문제 해결,기타,기타
음악대학 등록금 환불 요구합니다.,대학,대학
기말고사 오프라인 시험 금지 요구,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
학문관 뽀미와 뽀삐의 출입을 허용해주세요,기타,기타
추가학기생(학점등록생)에게도 추가  학점 받을 권리 있습니다.,행정지원 - 학교관련 제도,행정지원 - 학교관련 제도
여름계절학기 강의 진행 방식을 대면수업이 아닌 온라인 수업 원칙으로 시행하도록 요청합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
실험 실습 과목 온라인 강의 대체,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
중앙도서관 자유열람실 입구 문소리,생활지원 - 공간사용,기타
기숙사 선택입사 요청합니다.,생활지원 - 기숙사,생활지원 - 기숙사
"회계정보원리, 국제금융론 원격강의 개설을 원합니다.",기타,대학
이화그린_이화여대 상징색을 지켜주세요,기타,기타
[교내 야생조류 유리창 충돌] 교내에서 한 해에만  마리 이상의 새들이 죽고 있습니다. 더이상 무고한 생명들이 죽지 않도록 조치해주시기 바랍니다.,기타,행정지원 - 학사운영 전반에 관한 업무
유튜브 “이화여대 좋은 대학교 아닙니다” 제목의 동영상 강력 대응 부탁드립니다,기타,기타
등록금 감면을 요구합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
음대 대면실기시험 폐지를 요청합니다,대학,대학
음악관 연습실 개방을 허락해주세요,대학,대학
음악대학 등록금 감면을 요구합니다,대학,행정지원 - 학사운영 전반에 관한 업무
과목,행정지원 - 학사운영 전반에 관한 업무,기타
열받는다,기타,기타
 월 엘텍공과 대학 오프라인 시험을 막아주세요,대학,대학
인문예술미디어 타전공선택 교과목 종류를 개선해 학습권을 보장해주세요,대학,대학
[ 학년도  학기 중간고사 폐지 및 전 강의 절대평가 도입],행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
계절 비대면 요청합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
우리대학 대외이미지 개선 제발 부탁드립니다.,기타,기타
입학키트에 이화그린 의류 품목 추가 건의드립니다.,기타,행정지원 - 입학 및 학사운영
"고려대학교의 보구녀관, 의사 김점동 업적 탈취 시도에 대한 장기적인 대책 요구",기타,기타
음악대학 실기시험 취소를 요청합니다,대학,대학
 년도  학기 전면 사이버강의 전환을 제안합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
관광객 문제 개선,기타,기타
한우리집  동 에어컨 청소 또는 교체를 요구합니다.,생활지원 - 기숙사,생활지원 - 기숙사
대기순번제의 불편함에 대해 건의합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
  학기 수업방식에 대해 건의드립니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
이화여대 입결 폄하 게시글에 대한 구체적 피드백을 요구합니다,기타,기타
음악대학 연습실을 개방해주세요.,대학,대학
정문 앞 차량이동 관리 부탁드립니다.,기타,행정지원 - 학사운영 전반에 관한 업무
정문 셔틀버스 정거장에 앉을 공간을 마련해주세요.,기타,기타
문제해결과프로그래밍과 그 외 모든 계절 수업들에 대해 수요에 따른 증원 요청합니다.,행정지원 - 학사운영 전반에 관한 업무,대학
질병휴학 시 등록금 반환해주세요,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
어도비 프로그램 무료 지원을 제안드립니다.,기타,학생지원 - 학술
기숙사 입사일 연기 요청합니다.,생활지원 - 기숙사,생활지원 - 기숙사
사이버 강의 연장을 요구합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
유튜버 '뻑가'가 허위입결자료로 이화여대에 대한 비방 영상을 올렸습니다. 조치 부탁드립니다.,기타,기타
계절학기 영문학부 전공과목 개설을 요청합니다.,행정지원 - 학사운영 전반에 관한 업무,대학
 열람실 노트북실을 확장해주세요,생활지원 - 공간사용,생활지원 - 공간사용
 차 수강정정 기간 지정 및 추가학점( 학점 이상) 부여를 건의합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학교관련 제도
동창회관 교직원 식당 폐쇄에 따른 대체공간 마련 제안,기타,생활지원 - 식당
셔틀버스 관련  가지 사항 문의드립니다.,기타,기타
조예대 등록금 감면 요구합니다.,대학,대학
경영대 주전공생의 학습권을 보호해주세요.,대학,대학
 정숙시간 알림 방송을 해주세요.,행정지원 - 학사운영 전반에 관한 업무,생활지원 - 기숙사
대면강의 시작후 대면/비대면 선택 기회를 한번 더 주시기 바랍니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
입학식 라이브 방송시 채팅 금지를 요구합니다,행정지원 - 학사운영 전반에 관한 업무,기타
천원의 아침밥'사업 본교의 참여 제안,기타,생활지원 - 식당
정부의 거리두기 해제와 대면전환에 대하여,기타,기타
고려대학교의 역사 날조 대응 바랍니다,기타,기타
 학기 전면 싸이버 강의 원합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
등록금 감면반환해주세요,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
경영학과 전공 분반 증원,대학,대학
 학기사이버강의요청및 신속한 대응책 마련 부탁드립니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
통계학과 및 컴퓨터공학과의 수강우선신청제 추가등록을 바랍니다.,대학,대학
선택적 패논패 제안합니다. 제발 소통 부탁드립니다.,행정지원 - 학교관련 제도,행정지원 - 학교관련 제도
"메가로스쿨, 메가엠디 '중경외시이' 표기 정정해주세요",기타,기타
 차 수강 정정절대 평가 전환을 요구합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
등록금 감면을 부탁드립니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
 학기 전면 사이버강의를 원합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
엘텍공대  월초 오프라인시험을 취소해주세요.,대학,대학
대학원생도 특별장학금 지급해주세요.,기타,학생지원 - 학술
음악대학  월 오프라인강의를 반대합니다,대학,대학
비대면강의 품질(음질) 향상을 위한 마이크 지원을 요청합니다.,행정지원 - 학사운영 전반에 관한 업무,학생지원 - 학술지원
   컴퓨터실습실 화장실 냄새 개선을 부탁드립니다.,행정지원 - 학사운영 전반에 관한 업무,생활지원 - 공간사용
졸업에 필요한 이수학점 하향조정요청,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
학위수여식의 취소가 아닌 연기를 요청합니다.,학생지원 - 행사지원,학생지원 - 행사지원
등록금 감면 바랍니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
코로나  관련 학교 공식 홈페이지에 게시판 신설을 요청드립니다.,기타,대학
기말고사 전면 비대면을 강력요청합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
학문관 프린트실 개방 부탁드립니다.,생활지원 - 공간사용,생활지원 - 편의시설
경영대 주전공생 보호를 위한 대책을 마련해주세요.,대학,대학
이화여대 기업가센터에서 주관하는   창업동아리  프로그램 지원 분야 관련 제안,기타,학생지원 - 취업/현장실습지원
행정적 차별을 시행하며  명 넘는 복전생을 방치하는 경영대학 행정실에 항의합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
코로나  예방을 위해  컴퓨터실(개방실습실) 관리 및 통제 부탁드립니다.,생활지원 - 공간사용,행정지원 - 학사운영 전반에 관한 업무
 포트폴리오 미래설계,기타,기타
이화 앱의 오류를 시정해주세요.,기타,기타
 월 오프라인 기말시험을 막아주세요,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
인공지능학과 수업 분반을 늘려주세요,행정지원 - 학사운영 전반에 관한 업무,대학
 차 수강정정기간 제안,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
미대목동병원 인터넷 불량 문제,기타,학생지원 - 학술지원
등록금 감면 촉구합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
이화그린 재문의:: 원래의  값에 맞춘 팬톤컬러 변경 요구,기타,기타
 학기 전면 싸이버강의 대체를 제안합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
생협동동이 지원서 관련 건의,기타,기타
"추가 정정기간, 등록금 감면, 성적기준 완화 건의합니다.",행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
입시커뮤니티 대학 카테고리좀 정정해주세요 제발,기타,기타
메가엠디 및 핏단기의 대학서열 표기를 정정해주십시오,기타,기타
도서관 국내 전자 신문 시범 서비스가 유지되었으면 좋겠습니다.,기타,학생지원 - 학술지원
빠른 조치 부탁드립니다 해결해주세요,기타,기타
감사드립니다.,기타,대학
관광객 통제 관련하여 감사드립니다.,기타,기타
장애학생지원센터의 인력충원을 건의합니다.,기타,학생지원 - 장애학생지원
경영. 경제 분반 확충복수전공 제한,대학,대학
결론은 결국  학기 전면 사이버강의입니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
장애학생도우미 확충 방안,행정지원 - 학사운영 전반에 관한 업무,학생지원 - 장애학생지원
추가학점 요청드립니다,행정지원 - 학교관련 제도,행정지원 - 학교관련 제도
이화그린 공식 컬러코드를 특허출원 해주십시오,기타,기타
진학사 서성한시 그룹핑에대해 어떻게 생각하세요,기타,기타
학교 대외 이미지 개선,기타,기타
방학때 연습실 공개 해주세요,기타,대학
조형예술대학 실기실 예약제를 실시해주십시오.,대학,대학
음악대학 등록금 감면 및 구체적인 대책 마련을 바랍니다.,대학,대학
신입생 입학키트 및 학생증 배부의 기간을 늘려주세요,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 입학 및 학사운영
추가학기생에게도 동등히 추가학점  학점을 부여해주세요,행정지원 - 학교관련 제도,행정지원 - 학교관련 제도
휴학못하는 편입생 신입생 등록금 환불요청합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
불건전한 상호명,기타,기타
간편자료대출시스템을 요청합니다.,행정지원 - 학사운영 전반에 관한 업무,생활지원 - 공간사용
 학년 선택 휴학,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
기숙사 선택입사 가능하게 해주세요,생활지원 - 기숙사,생활지원 - 기숙사
오프라인 시험 전면 금지 바랍니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
건의합니다,행정지원 - 학사운영 전반에 관한 업무,기타
전면 비대면 시험은 요구합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
관광객 출입 금지 통제 부탁드립니다,기타,기타
흡연구역 확대 및 시설 보충에 대한 요구,기타,기타
수강정정기간연장학점추가,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
음대 실기시험 논의를 부탁드립니다,대학,대학
코로나  학점 추가학점 요청드립니다.,행정지원 - 학교관련 제도,행정지원 - 학교관련 제도
코로나로 인한 싸강 대체 요구합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
정시모집요강 디자인 변경 요청드립니다.,행정지원 - 입학 및 학사운영,행정지원 - 입학 및 학사운영
이대 누적적립금 위 등록금 반환해주세요,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
이화민주동산 대강당 앞에 조성하는 것은 이화의 명예를 실추시키는 것으로 전면 폐지 요청드립니다.(공개글입니다.),기타,기타
 학점 추가등록 및 수강정정,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학교
